name,full_name,publisher,url,level,field,type
TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/,A,计算机体系结构/并行与分布计算/存储系统,journal
TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/,A,计算机体系结构/并行与分布计算/存储系统,journal
TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/journals/tcad/,A,计算机体系结构/并行与分布计算/存储系统,journal
TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html,A,计算机体系结构/并行与分布计算/存储系统,journal
TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,A,计算机体系结构/并行与分布计算/存储系统,journal
TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/,A,计算机体系结构/并行与分布计算/存储系统,journal
TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/,B,计算机体系结构/并行与分布计算/存储系统,journal
TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/,B,计算机体系结构/并行与分布计算/存储系统,journal
TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/,B,计算机体系结构/并行与分布计算/存储系统,journal
TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/,B,计算机体系结构/并行与分布计算/存储系统,journal
TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/,B,计算机体系结构/并行与分布计算/存储系统,journal
JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/,B,计算机体系结构/并行与分布计算/存储系统,journal
JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/,B,计算机体系结构/并行与分布计算/存储系统,journal
,Parallel Computing,Elsevier,https://dblp.org/db/journals/pc/index.html,B,计算机体系结构/并行与分布计算/存储系统,journal
,Performance Evaluation: An International Journal,Elsevier,https://dblp.org/db/journals/pe/index.html,B,计算机体系结构/并行与分布计算/存储系统,journal
JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/,C,计算机体系结构/并行与分布计算/存储系统,journal
,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/,C,计算机体系结构/并行与分布计算/存储系统,journal
DC,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/,C,计算机体系结构/并行与分布计算/存储系统,journal
FGCS,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/,C,计算机体系结构/并行与分布计算/存储系统,journal
TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/,C,计算机体系结构/并行与分布计算/存储系统,journal
Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/,C,计算机体系结构/并行与分布计算/存储系统,journal
JETTA,Journal of Electronic Testing-Theory and Applications,Springer,https://dblp.org/db/journals/et/index.html,C,计算机体系结构/并行与分布计算/存储系统,journal
JGC,The Journal of Grid computing,Springer,http://link.springer.com/journal/10723,C,计算机体系结构/并行与分布计算/存储系统,journal
RTS,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/,C,计算机体系结构/并行与分布计算/存储系统,journal
TJSC,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/,C,计算机体系结构/并行与分布计算/存储系统,journal
TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,C,计算机体系结构/并行与分布计算/存储系统,journal
CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,C,计算机体系结构/并行与分布计算/存储系统,journal
TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,C,计算机体系结构/并行与分布计算/存储系统,journal
PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/,A,计算机体系结构/并行与分布计算/存储系统,conference
FAST,USENIX Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/,A,计算机体系结构/并行与分布计算/存储系统,conference
DAC,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/,A,计算机体系结构/并行与分布计算/存储系统,conference
HPCA,IEEE International Symposium on High Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/cnhpca/,A,计算机体系结构/并行与分布计算/存储系统,conference
MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.uni-trier.de/db/conf/micro/index.html,A,计算机体系结构/并行与分布计算/存储系统,conference
SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/,A,计算机体系结构/并行与分布计算/存储系统,conference
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/,A,计算机体系结构/并行与分布计算/存储系统,conference
ISCA,International Symposium on Computer Architecture,ACM /IEEE,http://dblp.uni-trier.de/db/conf/isca/,A,计算机体系结构/并行与分布计算/存储系统,conference
USENIX ATC,USENIX Annual Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html,A,计算机体系结构/并行与分布计算/存储系统,conference
EuroSys,European Conference on Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/eurosys/,A,计算机体系结构/并行与分布计算/存储系统,conference
SOCC,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/,B,计算机体系结构/并行与分布计算/存储系统,conference
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/,B,计算机体系结构/并行与分布计算/存储系统,conference
PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/,B,计算机体系结构/并行与分布计算/存储系统,conference
FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/,B,计算机体系结构/并行与分布计算/存储系统,conference
CGO,The International Symposium on Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/,B,计算机体系结构/并行与分布计算/存储系统,conference
DATE,"Design, Automation & Test in Europe",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/,B,计算机体系结构/并行与分布计算/存储系统,conference
HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,IEEE,https://dblp.org/db/conf/hotchips/index.html,B,计算机体系结构/并行与分布计算/存储系统,conference
CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.uni-trier.de/db/conf/cluster/,B,计算机体系结构/并行与分布计算/存储系统,conference
ICCD,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/,B,计算机体系结构/并行与分布计算/存储系统,conference
ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/,B,计算机体系结构/并行与分布计算/存储系统,conference
ICDCS,IEEE International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/,B,计算机体系结构/并行与分布计算/存储系统,conference
CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,ACM/ IEEE,https://dblp.uni-trier.de/db/conf/codesisss/index.html,B,计算机体系结构/并行与分布计算/存储系统,conference
HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.uni-trier.de/db/conf/hipeac/,B,计算机体系结构/并行与分布计算/存储系统,conference
SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/sigmetrics/,B,计算机体系结构/并行与分布计算/存储系统,conference
PACT,International Conference on Parallel Architectures and Compilation Techniques,IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/,B,计算机体系结构/并行与分布计算/存储系统,conference
ICPP,International Conference on Parallel Processing,ACM,http://dblp.uni-trier.de/db/conf/icpp/,B,计算机体系结构/并行与分布计算/存储系统,conference
ICS,International Conference on Supercomputing,ACM,http://dblp.uni-trier.de/db/conf/ics/,B,计算机体系结构/并行与分布计算/存储系统,conference
VEE,International Conference on Virtual Execution Environments,ACM,http://dblp.uni-trier.de/db/conf/vee/,B,计算机体系结构/并行与分布计算/存储系统,conference
IPDPS,IEEE International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/,B,计算机体系结构/并行与分布计算/存储系统,conference
Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/,B,计算机体系结构/并行与分布计算/存储系统,conference
HPDC,The International ACM Symposium on High-Performance Parallel and Distributed Computing,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/,B,计算机体系结构/并行与分布计算/存储系统,conference
ITC,International Test Conference,IEEE,http://dblp.uni-trier.de/db/conf/itc/,B,计算机体系结构/并行与分布计算/存储系统,conference
LISA,Large Installation system Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/,B,计算机体系结构/并行与分布计算/存储系统,conference
MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/,B,计算机体系结构/并行与分布计算/存储系统,conference
RTAS,IEEE Real-Time and Embedded Technology and ApplicationsSymposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/,B,计算机体系结构/并行与分布计算/存储系统,conference
Euro-Par,European Conference on Parallel and Distributed Computing,Springer,http://dblp.uni-trier.de/db/conf/europar/,B,计算机体系结构/并行与分布计算/存储系统,conference
CF,ACM International Conference on Computing Frontiers,ACM,http://dblp.uni-trier.de/db/conf/cf,C,计算机体系结构/并行与分布计算/存储系统,conference
SYSTOR,ACM International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html,C,计算机体系结构/并行与分布计算/存储系统,conference
NOCS,ACM/IEEE International Symposium on Networks-on-Chip,ACM/IEEE,http://dblp.uni-trier.de/db/conf/nocs,C,计算机体系结构/并行与分布计算/存储系统,conference
ASAP,"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.uni-trier.de/db/conf/asap,C,计算机体系结构/并行与分布计算/存储系统,conference
ASP-DAC,Asia and South Pacific Design Automation Conference,ACM/IEEE,http://dblp.uni-trier.de/db/conf/aspdac,C,计算机体系结构/并行与分布计算/存储系统,conference
ETS,IEEE European Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ets/,C,计算机体系结构/并行与分布计算/存储系统,conference
FPL,International Conference on Field-Programmable Logic and Applications,IEEE,http://dblp.uni-trier.de/db/conf/fpl/,C,计算机体系结构/并行与分布计算/存储系统,conference
FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines,IEEE,http://dblp.uni-trier.de/db/conf/fccm/,C,计算机体系结构/并行与分布计算/存储系统,conference
GLSVLSI,Great Lakes Symposium on VLSI,ACM/IEEE,http://dblp.uni-trier.de/db/conf/glvlsi/,C,计算机体系结构/并行与分布计算/存储系统,conference
ATS,IEEE Asian Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ats/,C,计算机体系结构/并行与分布计算/存储系统,conference
HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.uni-trier.de/db/conf/hpcc/,C,计算机体系结构/并行与分布计算/存储系统,conference
HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",IEEE/ ACM,http://dblp.uni-trier.de/db/conf/hipc/index.html,C,计算机体系结构/并行与分布计算/存储系统,conference
MASCOTS,"International Symposium on Modeling, Analysis, andSimulation of Computer and Telecommunication Systems",IEEE,http://dblp.uni-trier.de/db/conf/mascots/,C,计算机体系结构/并行与分布计算/存储系统,conference
ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,http://dblp.uni-trier.de/db/conf/ispa/,C,计算机体系结构/并行与分布计算/存储系统,conference
CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",ACM/IEEE,http://dblp.uni-trier.de/db/conf/ccgrid/,C,计算机体系结构/并行与分布计算/存储系统,conference
NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.uni-trier.de/db/conf/npc/,C,计算机体系结构/并行与分布计算/存储系统,conference
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/ica3pp/,C,计算机体系结构/并行与分布计算/存储系统,conference
CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/cases/index.html,C,计算机体系结构/并行与分布计算/存储系统,conference
FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.uni-trier.de/db/conf/fpt/,C,计算机体系结构/并行与分布计算/存储系统,conference
ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/icpads/,C,计算机体系结构/并行与分布计算/存储系统,conference
ISCAS,IEEE International Symposium on Circuits and Systems,IEEE,http://dblp.uni-trier.de/db/conf/iscas/,C,计算机体系结构/并行与分布计算/存储系统,conference
ISLPED,International Symposium on Low Power Electronics and Design,ACM/IEEE,http://dblp.uni-trier.de/db/conf/islped/,C,计算机体系结构/并行与分布计算/存储系统,conference
ISPD,International Symposium on Physical Design,ACM,http://dblp.uni-trier.de/db/conf/ispd/,C,计算机体系结构/并行与分布计算/存储系统,conference
HOTI,IEEE Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/hoti/,C,计算机体系结构/并行与分布计算/存储系统,conference
VTS,IEEE VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/vts/,C,计算机体系结构/并行与分布计算/存储系统,conference
ITC-Asia,International Test Conference in Asia,IEEE,https://dblp.org/db/conf/itc-asia/index.html,C,计算机体系结构/并行与分布计算/存储系统,conference
JSAC,IEEE Journal on Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/,A,计算机网络,journal
TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/,A,计算机网络,journal
TON,IEEE/ACM Transactions on Networking,IEEE/ACM,http://dblp.uni-trier.de/db/journals/ton/,A,计算机网络,journal
TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/,B,计算机网络,journal
TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/,B,计算机网络,journal
TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/,B,计算机网络,journal
CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/,B,计算机网络,journal
TCOM,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/,B,计算机网络,journal
TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/,B,计算机网络,journal
,Ad hoc Networks,Elsevier,http://dblp.uni-trier.de/db/journals/adhoc/,C,计算机网络,journal
CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/,C,计算机网络,journal
TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/,C,计算机网络,journal
,IET Communications,IET,http://dblp.uni-trier.de/db/journals/iet-com/,C,计算机网络,journal
JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/,C,计算机网络,journal
MONET,Mobile Networks and Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/,C,计算机网络,journal
,Networks,Wiley,http://dblp.uni-trier.de/db/journals/networks/,C,计算机网络,journal
PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/,C,计算机网络,journal
WCMC,Wireless Communications and Mobile Computing,Wiley.,http://dblp.uni-trier.de/db/journals/wicomm/,C,计算机网络,journal
,Wireless Networks,Springer,http://dblp.uni-trier.de/db/journals/winet/,C,计算机网络,journal
IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iotj/index.html,C,计算机网络,journal
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html,A,计算机网络,conference
MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/,A,计算机网络,conference
INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/,A,计算机网络,conference
NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/,A,计算机网络,conference
SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/,B,计算机网络,conference
CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,ACM,http://dblp.uni-trier.de/db/conf/conext/,B,计算机网络,conference
SECON,"IEEE International Conference on Sensing, Communication, and Networking",IEEE,http://dblp.uni-trier.de/db/conf/secon/,B,计算机网络,conference
IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ipsn/,B,计算机网络,conference
MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.uni-trier.de/db/conf/mobisys/,B,计算机网络,conference
ICNP,IEEE International Conference on Network Protocols,IEEE,http://dblp.uni-trier.de/db/conf/icnp/,B,计算机网络,conference
MobiHoc,"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",ACM/IEEE,http://dblp.uni-trier.de/db/conf/mobihoc/,B,计算机网络,conference
NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.uni-trier.de/db/conf/nossdav/,B,计算机网络,conference
IWQoS,IEEE/ACM International Workshop on Quality of Service,IEEE,http://dblp.uni-trier.de/db/conf/iwqos/,B,计算机网络,conference
IMC,ACM Internet Measurement Conference,ACM/USENIX,http://dblp.uni-trier.de/db/conf/imc/,B,计算机网络,conference
ANCS,ACM/IEEE Symposium on Architectures for Networking and Communication Systems,ACM/IEEE,http://dblp.uni-trier.de/db/conf/ancs/,C,计算机网络,conference
APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/apnoms/,C,计算机网络,conference
FORTE,"International Conference on Formal Techniques for Distributed Objects, Components, and Systems",Springer,http://dblp.uni-trier.de/db/conf/forte/,C,计算机网络,conference
LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.uni-trier.de/db/conf/lcn/,C,计算机网络,conference
GLOBECOM,IEEE Global Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/globecom/,C,计算机网络,conference
ICC,IEEE International Conference on Communications,IEEE,http://dblp.uni-trier.de/db/conf/icc/,C,计算机网络,conference
ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.uni-trier.de/db/conf/icccn/,C,计算机网络,conference
MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,IEEE,http://dblp.uni-trier.de/db/conf/mass/index.html,C,计算机网络,conference
P2P,IEEE International Conference on P2P Computing,IEEE,http://dblp.uni-trier.de/db/conf/p2p/,C,计算机网络,conference
IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.uni-trier.de/db/conf/ipccc/,C,计算机网络,conference
WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,IEEE,http://dblp.uni-trier.de/db/conf/wowmom/,C,计算机网络,conference
ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.uni-trier.de/db/conf/iscc/,C,计算机网络,conference
WCNC,IEEE Wireless Communications and Networking Conference,IEEE,http://dblp.uni-trier.de/db/conf/wcnc/,C,计算机网络,conference
Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni-trier.de/db/conf/networking/index.html,C,计算机网络,conference
IM,IFIP/IEEE International Symposium on Integrated NetworkManagement,IFIP/IEEE,http://dblp.uni-trier.de/db/conf/im/index.html,C,计算机网络,conference
MSN,"International Conference on Mobility, Sensing and Networking",IEEE,https://dblp.uni-trier.de/db/conf/msn/,C,计算机网络,conference
MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.uni-trier.de/db/conf/mswim/,C,计算机网络,conference
WASA,The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,Springer,http://dblp.uni-trier.de/db/conf/wasa/,C,计算机网络,conference
HotNets,ACM The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/,C,计算机网络,conference
APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html,C,计算机网络,conference
TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/,A,网络与信息安全,journal
TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/,A,网络与信息安全,journal
,Journal of Cryptology,Springer,http://dblp.uni-trier.de/db/journals/joc/,A,网络与信息安全,journal
TOPS,ACM Transactions on Privacy and Security,ACM,https://dblp.org/db/journals/tissec/index.html,B,网络与信息安全,journal
,Computers & Security,Elsevier,http://dblp.uni-trier.de/db/journals/compsec/,B,网络与信息安全,journal
,"Designs, Codes and Cryptography",Springer,http://dblp.uni-trier.de/db/journals/dcc/,B,网络与信息安全,journal
JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/,B,网络与信息安全,journal
CLSR,Computer Law & Security Review,Elsevier,https://dblp.org/db/journals/clsr/index.html,C,网络与信息安全,journal
